cards=2583A, bid=4, type=0, rank=1
cards=6QA7T, bid=788, type=0, rank=47
cards=7365A, bid=662, type=0, rank=48
cards=73Q52, bid=714, type=0, rank=49
cards=74K25, bid=552, type=0, rank=50
cards=7534A, bid=114, type=0, rank=51
cards=78TQK, bid=132, type=0, rank=52
cards=79625, bid=481, type=0, rank=53
cards=7KQ35, bid=158, type=0, rank=54
cards=7ATQ4, bid=794, type=0, rank=55
cards=827KT, bid=163, type=0, rank=56
cards=85496, bid=663, type=0, rank=57
cards=86K79, bid=930, type=0, rank=58
cards=893T7, bid=13, type=0, rank=59
cards=89643, bid=362, type=0, rank=60
cards=897A3, bid=580, type=0, rank=61
cards=8T5A4, bid=624, type=0, rank=62
cards=8Q627, bid=397, type=0, rank=63
cards=8QKA6, bid=473, type=0, rank=64
cards=8K539, bid=769, type=0, rank=65
cards=8KAT2, bid=22, type=0, rank=66
cards=934K5, bid=392, type=0, rank=67
cards=93726, bid=679, type=0, rank=68
cards=97AQ5, bid=326, type=0, rank=69
cards=984T5, bid=724, type=0, rank=70
cards=98K34, bid=246, type=0, rank=71
cards=9T248, bid=105, type=0, rank=72
cards=9Q2KA, bid=503, type=0, rank=73
cards=9QT4K, bid=752, type=0, rank=74
cards=9K824, bid=369, type=0, rank=75
cards=T49QA, bid=240, type=0, rank=76
cards=T5462, bid=547, type=0, rank=77
cards=T92A8, bid=509, type=0, rank=78
cards=Q2984, bid=833, type=0, rank=79
cards=Q2AT3, bid=363, type=0, rank=80
cards=Q38KA, bid=122, type=0, rank=81
cards=Q3962, bid=929, type=0, rank=82
cards=Q4528, bid=811, type=0, rank=83
cards=Q4K6T, bid=16, type=0, rank=84
cards=Q5T42, bid=86, type=0, rank=85
cards=Q6832, bid=256, type=0, rank=86
cards=Q769K, bid=290, type=0, rank=87
cards=QK25T, bid=488, type=0, rank=88
cards=QA562, bid=395, type=0, rank=89
cards=K42A6, bid=490, type=0, rank=90
cards=K437T, bid=838, type=0, rank=91
cards=K5284, bid=216, type=0, rank=92
cards=K64Q9, bid=704, type=0, rank=93
cards=K732Q, bid=498, type=0, rank=94
cards=K7692, bid=530, type=0, rank=95
cards=K7A2Q, bid=777, type=0, rank=96
cards=K8TA4, bid=858, type=0, rank=97
cards=K8AT7, bid=471, type=0, rank=98
cards=K8AQ4, bid=155, type=0, rank=99
cards=K94A2, bid=516, type=0, rank=100
cards=KQ2TA, bid=74, type=0, rank=101
cards=KQA3T, bid=346, type=0, rank=102
cards=A29Q3, bid=283, type=0, rank=103
cards=A4KQ3, bid=58, type=0, rank=104
cards=A53Q6, bid=37, type=0, rank=105
cards=A794K, bid=242, type=0, rank=106
cards=A965Q, bid=860, type=0, rank=107
cards=A9T27, bid=100, type=0, rank=108
cards=AT76K, bid=945, type=0, rank=109
cards=J25QT, bid=852, type=1, rank=110
cards=J2T95, bid=989, type=1, rank=111
cards=J37T6, bid=180, type=1, rank=112
cards=J37KQ, bid=513, type=1, rank=113
cards=J39KQ, bid=933, type=1, rank=114
cards=J4275, bid=71, type=1, rank=115
cards=J6435, bid=79, type=1, rank=116
cards=J6758, bid=273, type=1, rank=117
cards=J679T, bid=36, type=1, rank=118
cards=J6AQ9, bid=767, type=1, rank=119
cards=J73TQ, bid=586, type=1, rank=120
cards=J7TQ4, bid=172, type=1, rank=121
cards=JTQ6K, bid=910, type=1, rank=122
cards=JTQ98, bid=17, type=1, rank=123
cards=JQAKT, bid=675, type=1, rank=124
cards=JA759, bid=631, type=1, rank=125
cards=JA87K, bid=905, type=1, rank=126
cards=2J76Q, bid=514, type=1, rank=127
cards=2JKQ3, bid=969, type=1, rank=128
cards=223AK, bid=113, type=1, rank=129
cards=23276, bid=81, type=1, rank=130
cards=234JK, bid=383, type=1, rank=131
cards=24K62, bid=750, type=1, rank=132
cards=25927, bid=233, type=1, rank=133
cards=26AAT, bid=524, type=1, rank=134
cards=27A42, bid=688, type=1, rank=135
cards=2886Q, bid=934, type=1, rank=136
cards=28A77, bid=143, type=1, rank=137
cards=29K27, bid=429, type=1, rank=138
cards=2T248, bid=187, type=1, rank=139
cards=2T7TQ, bid=28, type=1, rank=140
cards=2T7TK, bid=261, type=1, rank=141
cards=2T8J3, bid=773, type=1, rank=142
cards=2TK4J, bid=588, type=1, rank=143
cards=2Q287, bid=762, type=1, rank=144
cards=2K2Q8, bid=121, type=1, rank=145
cards=2K9KT, bid=753, type=1, rank=146
cards=2KKQA, bid=947, type=1, rank=147
cards=2A287, bid=199, type=1, rank=148
cards=2A996, bid=768, type=1, rank=149
cards=2AK3J, bid=462, type=1, rank=150
cards=2AKK6, bid=898, type=1, rank=151
cards=2AA54, bid=230, type=1, rank=152
cards=3JATQ, bid=576, type=1, rank=153
cards=32TQ3, bid=320, type=1, rank=154
cards=335TK, bid=118, type=1, rank=155
cards=33958, bid=70, type=1, rank=156
cards=3395Q, bid=668, type=1, rank=157
cards=34T47, bid=542, type=1, rank=158
cards=34KK2, bid=551, type=1, rank=159
cards=35989, bid=430, type=1, rank=160
cards=35AAT, bid=814, type=1, rank=161
cards=37565, bid=478, type=1, rank=162
cards=37A7Q, bid=264, type=1, rank=163
cards=38847, bid=640, type=1, rank=164
cards=39738, bid=634, type=1, rank=165
cards=399A8, bid=927, type=1, rank=166
cards=3T243, bid=245, type=1, rank=167
cards=3T8QQ, bid=891, type=1, rank=168
cards=3TK44, bid=443, type=1, rank=169
cards=3K2TJ, bid=848, type=1, rank=170
cards=3K357, bid=168, type=1, rank=171
cards=4236J, bid=197, type=1, rank=172
cards=43J5K, bid=295, type=1, rank=173
cards=438TJ, bid=899, type=1, rank=174
cards=446QK, bid=304, type=1, rank=175
cards=44K6A, bid=52, type=1, rank=176
cards=46Q63, bid=953, type=1, rank=177
cards=46KJ7, bid=642, type=1, rank=178
cards=46A4Q, bid=711, type=1, rank=179
cards=47363, bid=692, type=1, rank=180
cards=47624, bid=206, type=1, rank=181
cards=47T37, bid=745, type=1, rank=182
cards=47AJQ, bid=799, type=1, rank=183
cards=48385, bid=625, type=1, rank=184
cards=49T89, bid=190, type=1, rank=185
cards=4TJ87, bid=867, type=1, rank=186
cards=4T63J, bid=895, type=1, rank=187
cards=4Q942, bid=396, type=1, rank=188
cards=4K6QK, bid=258, type=1, rank=189
cards=4K7QJ, bid=883, type=1, rank=190
cards=4KKQT, bid=894, type=1, rank=191
cards=4AJ9T, bid=774, type=1, rank=192
cards=4A4T6, bid=600, type=1, rank=193
cards=52284, bid=67, type=1, rank=194
cards=522TQ, bid=991, type=1, rank=195
cards=52395, bid=428, type=1, rank=196
cards=536T5, bid=80, type=1, rank=197
cards=542A2, bid=376, type=1, rank=198
cards=5572Q, bid=827, type=1, rank=199
cards=567JQ, bid=398, type=1, rank=200
cards=58459, bid=954, type=1, rank=201
cards=58T5K, bid=388, type=1, rank=202
cards=58TT2, bid=936, type=1, rank=203
cards=5T598, bid=24, type=1, rank=204
cards=5TTA6, bid=367, type=1, rank=205
cards=5Q338, bid=573, type=1, rank=206
cards=5K586, bid=904, type=1, rank=207
cards=5A7JQ, bid=212, type=1, rank=208
cards=6J94T, bid=791, type=1, rank=209
cards=6JT42, bid=46, type=1, rank=210
cards=63J82, bid=434, type=1, rank=211
cards=64885, bid=792, type=1, rank=212
cards=65KA6, bid=935, type=1, rank=213
cards=6779Q, bid=658, type=1, rank=214
cards=67KAJ, bid=444, type=1, rank=215
cards=68JT4, bid=808, type=1, rank=216
cards=6TJ95, bid=156, type=1, rank=217
cards=6TJ98, bid=568, type=1, rank=218
cards=6K588, bid=697, type=1, rank=219
cards=6K62A, bid=611, type=1, rank=220
cards=6A7A4, bid=368, type=1, rank=221
cards=6AT7J, bid=387, type=1, rank=222
cards=6AA58, bid=500, type=1, rank=223
cards=6AAKT, bid=719, type=1, rank=224
cards=7J8KT, bid=496, type=1, rank=225
cards=72J65, bid=146, type=1, rank=226
cards=72393, bid=968, type=1, rank=227
cards=72KT7, bid=128, type=1, rank=228
cards=74572, bid=151, type=1, rank=229
cards=74842, bid=584, type=1, rank=230
cards=765QQ, bid=608, type=1, rank=231
cards=776KQ, bid=694, type=1, rank=232
cards=79J3Q, bid=418, type=1, rank=233
cards=7T3JA, bid=772, type=1, rank=234
cards=7T585, bid=657, type=1, rank=235
cards=7K4J5, bid=347, type=1, rank=236
cards=7A9J2, bid=98, type=1, rank=237
cards=7AK3J, bid=437, type=1, rank=238
cards=8J3A7, bid=249, type=1, rank=239
cards=8249J, bid=433, type=1, rank=240
cards=829J5, bid=890, type=1, rank=241
cards=8337T, bid=826, type=1, rank=242
cards=83439, bid=870, type=1, rank=243
cards=84A82, bid=511, type=1, rank=244
cards=85J7T, bid=763, type=1, rank=245
cards=85475, bid=622, type=1, rank=246
cards=85QAA, bid=900, type=1, rank=247
cards=85K48, bid=812, type=1, rank=248
cards=8659J, bid=845, type=1, rank=249
cards=86Q36, bid=477, type=1, rank=250
cards=87Q84, bid=51, type=1, rank=251
cards=88KT7, bid=942, type=1, rank=252
cards=89665, bid=358, type=1, rank=253
cards=89842, bid=339, type=1, rank=254
cards=89Q9K, bid=127, type=1, rank=255
cards=8TK68, bid=851, type=1, rank=256
cards=8TKAJ, bid=255, type=1, rank=257
cards=8QJA7, bid=574, type=1, rank=258
cards=8Q73J, bid=204, type=1, rank=259
cards=8KT4J, bid=111, type=1, rank=260
cards=92A6J, bid=322, type=1, rank=261
cards=93K35, bid=413, type=1, rank=262
cards=9597T, bid=474, type=1, rank=263
cards=97656, bid=683, type=1, rank=264
cards=98J2A, bid=451, type=1, rank=265
cards=98242, bid=411, type=1, rank=266
cards=9QK59, bid=179, type=1, rank=267
cards=9K6K4, bid=331, type=1, rank=268
cards=9AT7J, bid=787, type=1, rank=269
cards=9AQ2J, bid=702, type=1, rank=270
cards=TJKA6, bid=951, type=1, rank=271
cards=T287T, bid=381, type=1, rank=272
cards=T2932, bid=244, type=1, rank=273
cards=T353Q, bid=342, type=1, rank=274
cards=T3Q63, bid=356, type=1, rank=275
cards=T3QQ4, bid=327, type=1, rank=276
cards=T3K55, bid=165, type=1, rank=277
cards=T46Q4, bid=18, type=1, rank=278
cards=T57AJ, bid=920, type=1, rank=279
cards=T5A57, bid=174, type=1, rank=280
cards=T6554, bid=647, type=1, rank=281
cards=T6A4A, bid=171, type=1, rank=282
cards=T7QT3, bid=562, type=1, rank=283
cards=T8Q66, bid=377, type=1, rank=284
cards=T959K, bid=328, type=1, rank=285
cards=TQ62T, bid=55, type=1, rank=286
cards=TQQ56, bid=303, type=1, rank=287
cards=TA2JQ, bid=115, type=1, rank=288
cards=TAQQ6, bid=730, type=1, rank=289
cards=QJ456, bid=272, type=1, rank=290
cards=QJ785, bid=489, type=1, rank=291
cards=Q2J8K, bid=341, type=1, rank=292
cards=Q2269, bid=268, type=1, rank=293
cards=Q2646, bid=596, type=1, rank=294
cards=Q2TAT, bid=296, type=1, rank=295
cards=Q3Q25, bid=126, type=1, rank=296
cards=Q424K, bid=291, type=1, rank=297
cards=Q4A8J, bid=182, type=1, rank=298
cards=Q5JT6, bid=839, type=1, rank=299
cards=Q5T7T, bid=733, type=1, rank=300
cards=Q6628, bid=374, type=1, rank=301
cards=Q6865, bid=470, type=1, rank=302
cards=Q73Q4, bid=440, type=1, rank=303
cards=Q8535, bid=1000, type=1, rank=304
cards=Q8Q29, bid=775, type=1, rank=305
cards=Q8A44, bid=229, type=1, rank=306
cards=Q9336, bid=810, type=1, rank=307
cards=Q9Q5A, bid=459, type=1, rank=308
cards=Q9K3Q, bid=994, type=1, rank=309
cards=QT3T2, bid=830, type=1, rank=310
cards=QT655, bid=561, type=1, rank=311
cards=QQ758, bid=492, type=1, rank=312
cards=QQK48, bid=863, type=1, rank=313
cards=QK33T, bid=336, type=1, rank=314
cards=QK557, bid=406, type=1, rank=315
cards=QKQ7A, bid=599, type=1, rank=316
cards=QAQT5, bid=918, type=1, rank=317
cards=QAKJ3, bid=701, type=1, rank=318
cards=K2K7T, bid=761, type=1, rank=319
cards=K3J28, bid=957, type=1, rank=320
cards=K8525, bid=565, type=1, rank=321
cards=K856K, bid=154, type=1, rank=322
cards=K929T, bid=78, type=1, rank=323
cards=KT3J8, bid=805, type=1, rank=324
cards=KAQQ3, bid=636, type=1, rank=325
cards=AJ349, bid=137, type=1, rank=326
cards=A2A7Q, bid=382, type=1, rank=327
cards=A3J86, bid=672, type=1, rank=328
cards=A3Q22, bid=95, type=1, rank=329
cards=A4493, bid=566, type=1, rank=330
cards=A4K5K, bid=241, type=1, rank=331
cards=A5A98, bid=50, type=1, rank=332
cards=A667T, bid=218, type=1, rank=333
cards=A8979, bid=228, type=1, rank=334
cards=A8Q68, bid=85, type=1, rank=335
cards=ATT6K, bid=948, type=1, rank=336
cards=AK3QA, bid=135, type=1, rank=337
cards=AK554, bid=220, type=1, rank=338
cards=AK6K8, bid=177, type=1, rank=339
cards=AKT5T, bid=416, type=1, rank=340
cards=22544, bid=93, type=2, rank=341
cards=22667, bid=995, type=2, rank=342
cards=22955, bid=185, type=2, rank=343
cards=23239, bid=195, type=2, rank=344
cards=23772, bid=518, type=2, rank=345
cards=25524, bid=506, type=2, rank=346
cards=26AA6, bid=130, type=2, rank=347
cards=272TT, bid=941, type=2, rank=348
cards=2A424, bid=425, type=2, rank=349
cards=33QKQ, bid=405, type=2, rank=350
cards=35357, bid=861, type=2, rank=351
cards=3535K, bid=981, type=2, rank=352
cards=35993, bid=984, type=2, rank=353
cards=36236, bid=820, type=2, rank=354
cards=36262, bid=844, type=2, rank=355
cards=36365, bid=906, type=2, rank=356
cards=37397, bid=698, type=2, rank=357
cards=373K7, bid=485, type=2, rank=358
cards=383A8, bid=54, type=2, rank=359
cards=39793, bid=361, type=2, rank=360
cards=3TT22, bid=800, type=2, rank=361
cards=3Q39Q, bid=29, type=2, rank=362
cards=3Q6Q6, bid=638, type=2, rank=363
cards=3KKAA, bid=771, type=2, rank=364
cards=3A55A, bid=604, type=2, rank=365
cards=42Q2Q, bid=125, type=2, rank=366
cards=44575, bid=802, type=2, rank=367
cards=499K4, bid=961, type=2, rank=368
cards=4QAA4, bid=278, type=2, rank=369
cards=52772, bid=871, type=2, rank=370
cards=544K5, bid=42, type=2, rank=371
cards=544AA, bid=269, type=2, rank=372
cards=55322, bid=175, type=2, rank=373
cards=55A2A, bid=879, type=2, rank=374
cards=59T95, bid=39, type=2, rank=375
cards=5Q5Q4, bid=885, type=2, rank=376
cards=5QT5Q, bid=897, type=2, rank=377
cards=5K5K3, bid=350, type=2, rank=378
cards=5KK22, bid=709, type=2, rank=379
cards=5AKA5, bid=703, type=2, rank=380
cards=6226K, bid=497, type=2, rank=381
cards=65995, bid=614, type=2, rank=382
cards=66488, bid=575, type=2, rank=383
cards=68268, bid=628, type=2, rank=384
cards=686AA, bid=442, type=2, rank=385
cards=6T26T, bid=916, type=2, rank=386
cards=6T688, bid=607, type=2, rank=387
cards=6T8T6, bid=630, type=2, rank=388
cards=6TKKT, bid=616, type=2, rank=389
cards=6Q886, bid=661, type=2, rank=390
cards=6Q8Q8, bid=741, type=2, rank=391
cards=6K63K, bid=836, type=2, rank=392
cards=6KK76, bid=962, type=2, rank=393
cards=6A6AK, bid=160, type=2, rank=394
cards=733TT, bid=873, type=2, rank=395
cards=74676, bid=821, type=2, rank=396
cards=74979, bid=925, type=2, rank=397
cards=75795, bid=370, type=2, rank=398
cards=77833, bid=671, type=2, rank=399
cards=77883, bid=645, type=2, rank=400
cards=7QK7Q, bid=641, type=2, rank=401
cards=7K227, bid=708, type=2, rank=402
cards=7KKT7, bid=222, type=2, rank=403
cards=7A337, bid=865, type=2, rank=404
cards=7AA87, bid=691, type=2, rank=405
cards=83382, bid=764, type=2, rank=406
cards=85895, bid=862, type=2, rank=407
cards=88525, bid=348, type=2, rank=408
cards=8877Q, bid=943, type=2, rank=409
cards=88KTK, bid=469, type=2, rank=410
cards=8QKK8, bid=928, type=2, rank=411
cards=8K822, bid=597, type=2, rank=412
cards=8A6A8, bid=803, type=2, rank=413
cards=92955, bid=214, type=2, rank=414
cards=93693, bid=458, type=2, rank=415
cards=94559, bid=65, type=2, rank=416
cards=98282, bid=666, type=2, rank=417
cards=98892, bid=908, type=2, rank=418
cards=98KK8, bid=606, type=2, rank=419
cards=9QQK9, bid=499, type=2, rank=420
cards=9K933, bid=10, type=2, rank=421
cards=9KKA9, bid=892, type=2, rank=422
cards=9AKAK, bid=375, type=2, rank=423
cards=T2T44, bid=581, type=2, rank=424
cards=T2ATA, bid=260, type=2, rank=425
cards=T336T, bid=266, type=2, rank=426
cards=T5335, bid=796, type=2, rank=427
cards=T5AA5, bid=200, type=2, rank=428
cards=T6T46, bid=263, type=2, rank=429
cards=T8855, bid=887, type=2, rank=430
cards=T8T48, bid=112, type=2, rank=431
cards=TT335, bid=301, type=2, rank=432
cards=TT422, bid=923, type=2, rank=433
cards=TTKK4, bid=644, type=2, rank=434
cards=Q4Q4K, bid=857, type=2, rank=435
cards=Q73Q7, bid=6, type=2, rank=436
cards=Q77Q5, bid=310, type=2, rank=437
cards=Q9292, bid=758, type=2, rank=438
cards=QQ3TT, bid=646, type=2, rank=439
cards=QQ644, bid=198, type=2, rank=440
cards=QQTT2, bid=594, type=2, rank=441
cards=QQAKA, bid=507, type=2, rank=442
cards=K2TKT, bid=783, type=2, rank=443
cards=K2K92, bid=456, type=2, rank=444
cards=K3K63, bid=288, type=2, rank=445
cards=K454K, bid=108, type=2, rank=446
cards=K5QQ5, bid=66, type=2, rank=447
cards=K688K, bid=285, type=2, rank=448
cards=KT77T, bid=463, type=2, rank=449
cards=KTTK3, bid=414, type=2, rank=450
cards=KQ6KQ, bid=438, type=2, rank=451
cards=KK99Q, bid=431, type=2, rank=452
cards=A233A, bid=937, type=2, rank=453
cards=A5TT5, bid=313, type=2, rank=454
cards=A69A9, bid=756, type=2, rank=455
cards=A979A, bid=166, type=2, rank=456
cards=AT3AT, bid=248, type=2, rank=457
cards=AA338, bid=620, type=2, rank=458
cards=AA599, bid=84, type=2, rank=459
cards=JJ5T8, bid=337, type=3, rank=460
cards=J4J7Q, bid=782, type=3, rank=461
cards=J44Q2, bid=300, type=3, rank=462
cards=J5299, bid=292, type=3, rank=463
cards=J55K3, bid=712, type=3, rank=464
cards=J5677, bid=559, type=3, rank=465
cards=J5Q35, bid=841, type=3, rank=466
cards=J6288, bid=710, type=3, rank=467
cards=J8A22, bid=819, type=3, rank=468
cards=JT27T, bid=813, type=3, rank=469
cards=JTTQ5, bid=907, type=3, rank=470
cards=JTAJ7, bid=227, type=3, rank=471
cards=JQ866, bid=448, type=3, rank=472
cards=JQ955, bid=41, type=3, rank=473
cards=JQTQK, bid=117, type=3, rank=474
cards=JK2T2, bid=872, type=3, rank=475
cards=JK433, bid=186, type=3, rank=476
cards=JK554, bid=545, type=3, rank=477
cards=JK87J, bid=864, type=3, rank=478
cards=JA993, bid=987, type=3, rank=479
cards=2J464, bid=734, type=3, rank=480
cards=2J66A, bid=996, type=3, rank=481
cards=2J692, bid=840, type=3, rank=482
cards=2J7T2, bid=373, type=3, rank=483
cards=22J47, bid=15, type=3, rank=484
cards=22J53, bid=686, type=3, rank=485
cards=2225T, bid=983, type=3, rank=486
cards=22284, bid=236, type=3, rank=487
cards=227J6, bid=932, type=3, rank=488
cards=229A2, bid=744, type=3, rank=489
cards=22AJQ, bid=69, type=3, rank=490
cards=22A28, bid=96, type=3, rank=491
cards=22A6J, bid=637, type=3, rank=492
cards=2333A, bid=142, type=3, rank=493
cards=23777, bid=237, type=3, rank=494
cards=24344, bid=649, type=3, rank=495
cards=24TTT, bid=681, type=3, rank=496
cards=25554, bid=748, type=3, rank=497
cards=25KJ5, bid=446, type=3, rank=498
cards=2622Q, bid=591, type=3, rank=499
cards=266A6, bid=75, type=3, rank=500
cards=27JQJ, bid=964, type=3, rank=501
cards=27225, bid=619, type=3, rank=502
cards=2A522, bid=297, type=3, rank=503
cards=2A622, bid=973, type=3, rank=504
cards=3JJA6, bid=583, type=3, rank=505
cards=3J9T9, bid=354, type=3, rank=506
cards=3JQ8J, bid=893, type=3, rank=507
cards=32522, bid=330, type=3, rank=508
cards=32K33, bid=560, type=3, rank=509
cards=3334Q, bid=687, type=3, rank=510
cards=33753, bid=538, type=3, rank=511
cards=33832, bid=149, type=3, rank=512
cards=3393Q, bid=868, type=3, rank=513
cards=34JJQ, bid=432, type=3, rank=514
cards=353T3, bid=974, type=3, rank=515
cards=35565, bid=203, type=3, rank=516
cards=36J46, bid=751, type=3, rank=517
cards=37J32, bid=44, type=3, rank=518
cards=37TJ7, bid=612, type=3, rank=519
cards=388JA, bid=831, type=3, rank=520
cards=3KTJ3, bid=251, type=3, rank=521
cards=3AJ7J, bid=716, type=3, rank=522
cards=3A777, bid=277, type=3, rank=523
cards=4J959, bid=795, type=3, rank=524
cards=43J74, bid=299, type=3, rank=525
cards=434T4, bid=525, type=3, rank=526
cards=4377J, bid=998, type=3, rank=527
cards=445A4, bid=677, type=3, rank=528
cards=449Q4, bid=505, type=3, rank=529
cards=457J4, bid=324, type=3, rank=530
cards=45Q4J, bid=875, type=3, rank=531
cards=46KJ4, bid=815, type=3, rank=532
cards=47Q77, bid=555, type=3, rank=533
cards=48J8A, bid=966, type=3, rank=534
cards=484T4, bid=35, type=3, rank=535
cards=49J9Q, bid=159, type=3, rank=536
cards=4TTKJ, bid=421, type=3, rank=537
cards=4QQ6Q, bid=63, type=3, rank=538
cards=5J572, bid=757, type=3, rank=539
cards=5JAQA, bid=394, type=3, rank=540
cards=53J73, bid=749, type=3, rank=541
cards=55K45, bid=880, type=3, rank=542
cards=55A53, bid=319, type=3, rank=543
cards=5856J, bid=460, type=3, rank=544
cards=5886J, bid=8, type=3, rank=545
cards=5T455, bid=68, type=3, rank=546
cards=5TTT7, bid=528, type=3, rank=547
cards=5Q888, bid=357, type=3, rank=548
cards=5KJTT, bid=523, type=3, rank=549
cards=5A565, bid=902, type=3, rank=550
cards=5A666, bid=537, type=3, rank=551
cards=5AAA2, bid=816, type=3, rank=552
cards=6J638, bid=415, type=3, rank=553
cards=6J6A9, bid=958, type=3, rank=554
cards=6J88T, bid=939, type=3, rank=555
cards=63J76, bid=665, type=3, rank=556
cards=63JK3, bid=210, type=3, rank=557
cards=6445J, bid=340, type=3, rank=558
cards=66356, bid=106, type=3, rank=559
cards=66654, bid=963, type=3, rank=560
cards=66689, bid=355, type=3, rank=561
cards=666A9, bid=311, type=3, rank=562
cards=6682J, bid=706, type=3, rank=563
cards=66KAJ, bid=888, type=3, rank=564
cards=67J27, bid=119, type=3, rank=565
cards=67626, bid=267, type=3, rank=566
cards=676K6, bid=436, type=3, rank=567
cards=696K6, bid=393, type=3, rank=568
cards=69799, bid=676, type=3, rank=569
cards=6T6Q6, bid=468, type=3, rank=570
cards=6Q55J, bid=627, type=3, rank=571
cards=6KQKK, bid=178, type=3, rank=572
cards=6AAA3, bid=955, type=3, rank=573
cards=7J867, bid=556, type=3, rank=574
cards=7J879, bid=911, type=3, rank=575
cards=7J972, bid=138, type=3, rank=576
cards=7278J, bid=332, type=3, rank=577
cards=733A3, bid=673, type=3, rank=578
cards=73KJ7, bid=740, type=3, rank=579
cards=74644, bid=517, type=3, rank=580
cards=74773, bid=980, type=3, rank=581
cards=7588J, bid=170, type=3, rank=582
cards=767Q7, bid=531, type=3, rank=583
cards=777T3, bid=595, type=3, rank=584
cards=777A8, bid=502, type=3, rank=585
cards=77978, bid=453, type=3, rank=586
cards=77K76, bid=684, type=3, rank=587
cards=78J75, bid=253, type=3, rank=588
cards=78828, bid=603, type=3, rank=589
cards=7888T, bid=877, type=3, rank=590
cards=79J57, bid=822, type=3, rank=591
cards=79J96, bid=598, type=3, rank=592
cards=7TT3T, bid=515, type=3, rank=593
cards=7TT9T, bid=426, type=3, rank=594
cards=7K6JJ, bid=343, type=3, rank=595
cards=7KKKT, bid=221, type=3, rank=596
cards=8JJ36, bid=988, type=3, rank=597
cards=8JJ72, bid=254, type=3, rank=598
cards=8J5JA, bid=298, type=3, rank=599
cards=8JTT2, bid=26, type=3, rank=600
cards=8JAJ6, bid=960, type=3, rank=601
cards=82AJA, bid=215, type=3, rank=602
cards=83336, bid=766, type=3, rank=603
cards=83733, bid=110, type=3, rank=604
cards=838J4, bid=535, type=3, rank=605
cards=83988, bid=192, type=3, rank=606
cards=886J4, bid=855, type=3, rank=607
cards=888A3, bid=835, type=3, rank=608
cards=88Q28, bid=225, type=3, rank=609
cards=8T88A, bid=589, type=3, rank=610
cards=8KK7K, bid=284, type=3, rank=611
cards=9J443, bid=884, type=3, rank=612
cards=9J5AA, bid=722, type=3, rank=613
cards=9J7JQ, bid=461, type=3, rank=614
cards=9JA4A, bid=140, type=3, rank=615
cards=92333, bid=422, type=3, rank=616
cards=927J2, bid=532, type=3, rank=617
cards=92722, bid=59, type=3, rank=618
cards=92959, bid=993, type=3, rank=619
cards=93J49, bid=544, type=3, rank=620
cards=969T9, bid=869, type=3, rank=621
cards=98488, bid=208, type=3, rank=622
cards=98T99, bid=956, type=3, rank=623
cards=99298, bid=402, type=3, rank=624
cards=9949Q, bid=424, type=3, rank=625
cards=99957, bid=250, type=3, rank=626
cards=9T4TJ, bid=32, type=3, rank=627
cards=9QQQA, bid=746, type=3, rank=628
cards=9K8KK, bid=780, type=3, rank=629
cards=TJ838, bid=829, type=3, rank=630
cards=T44JK, bid=457, type=3, rank=631
cards=T455J, bid=487, type=3, rank=632
cards=T6668, bid=259, type=3, rank=633
cards=T6K66, bid=11, type=3, rank=634
cards=T7Q7J, bid=859, type=3, rank=635
cards=T9ATT, bid=648, type=3, rank=636
cards=TKK4J, bid=5, type=3, rank=637
cards=TA8TT, bid=53, type=3, rank=638
